Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Price
Akasa Air,2023-04-18,Guwahati,Varanasi,GUW-DEL-VAR,00:35,03:42,03:07:00 AM,1 stop,7522
Air India,2023-04-22,Mumbai,Raipur,MUM-GOA-RAI,06:38,19:38,01:00:00 PM,1 stop,6893
TruJet,2023-08-27,Nagpur,Chennai,NAG-LUC-JAI-CHE,19:52,00:10,04:18:00 AM,2 stops,9673
SpiceJet,2022-08-24,Patna,Jaipur,PAT-IND-JAI,10:31,01:54,03:23:00 PM,1 stop,9300
SpiceJet,2020-09-20,Jaipur,Mumbai,JAI-KOL-RAI-HYD-MUM,19:47,17:49,10:02:00 PM,3 stops,11215
SpiceJet,2024-12-27,Guwahati,Delhi,GUW-IND-PAT-DEL,20:03,16:50,08:47:00 PM,2 stops,11405
IndiGo,2020-07-27,Goa,Nagpur,GOA-NAG,20:53,22:57,02:04:00 AM,non-stop,11337
Akasa Air,2022-06-25,Raipur,Goa,RAI-VAR-AHM-HYD-GOA,20:32,22:03,01:31:00 AM,3 stops,15145
TruJet,2022-03-22,Indore,Lucknow,IND-GOA-LUC,09:48,02:15,04:27:00 PM,1 stop,9802
Akasa Air,2022-01-03,Patna,Ahmedabad,PAT-GOA-JAI-AHM,08:47,02:30,05:43:00 PM,2 stops,15377
TruJet,2024-12-20,Indore,Jaipur,IND-JAI,15:19,01:51,10:32:00 AM,non-stop,4502
SpiceJet,2020-06-27,Patna,Bangalore,PAT-LUC-KOL-BAN,00:21,16:08,03:47:00 PM,2 stops,10033
Akasa Air,2024-01-21,Patna,Jaipur,PAT-PUN-GOA-HYD-JAI,18:43,01:42,06:59:00 AM,3 stops,11359
Vistara,2019-04-05,Indore,Bangalore,IND-DEL-COC-BAN,12:20,10:02,09:42:00 PM,2 stops,8683
Air India,2025-03-19,Hyderabad,Pune,HYD-CHE-BHU-MUM-PUN,03:30,20:07,04:37:00 PM,3 stops,9103
IndiGo,2024-02-09,Bhubaneswar,Goa,BHU-SUR-IND-GOA,17:48,19:34,01:46:00 AM,2 stops,8269
Air India,2019-08-06,Varanasi,Pune,VAR-NAG-PUN,06:45,15:34,08:49:00 AM,1 stop,9993
SpiceJet,2024-06-03,Patna,Jaipur,PAT-BHU-CHE-COC-JAI,15:10,11:43,08:33:00 PM,3 stops,10606
Vistara,2019-12-25,Delhi,Surat,DEL-NAG-SUR,20:41,19:37,10:56:00 PM,1 stop,7459
SpiceJet,2020-04-02,Cochin,Goa,COC-BHU-NAG-GOA,17:54,02:14,08:20:00 AM,2 stops,11818
Air India,2020-11-04,Patna,Guwahati,PAT-GUW,03:55,04:11,12:16:00 AM,non-stop,2630
SpiceJet,2023-05-13,Hyderabad,Lucknow,HYD-VAR-RAI-LUC,21:00,16:00,07:00:00 PM,2 stops,10879
TruJet,2024-02-13,Varanasi,Bhubaneswar,VAR-PUN-JAI-BHU,04:41,20:36,03:55:00 PM,2 stops,4894
Alliance Air,2024-02-04,Delhi,Jaipur,DEL-LUC-PAT-JAI,15:03,04:53,01:50:00 PM,2 stops,15374
GoAir,2024-08-02,Nagpur,Kolkata,NAG-CHE-KOL,20:57,07:04,10:07:00 AM,1 stop,9614
Alliance Air,2020-03-16,Lucknow,Pune,LUC-PUN,18:36,13:49,07:13:00 PM,non-stop,10631
GoAir,2022-01-04,Raipur,Delhi,RAI-KOL-GOA-BAN-DEL,21:49,20:58,11:09:00 PM,3 stops,15121
GoAir,2024-12-01,Patna,Cochin,PAT-COC,05:16,02:51,09:35:00 PM,non-stop,10305
Akasa Air,2023-08-16,Mumbai,Nagpur,MUM-CHE-NAG,15:49,09:43,05:54:00 PM,1 stop,12317
Star Air,2019-09-19,Pune,Hyderabad,PUN-JAI-HYD,17:20,01:12,07:52:00 AM,1 stop,8526
GoAir,2025-05-15,Cochin,Chennai,COC-JAI-KOL-CHE,14:18,19:29,05:11:00 AM,2 stops,6334
Akasa Air,2025-07-21,Raipur,Pune,RAI-HYD-PUN,06:00,22:12,04:12:00 PM,1 stop,12174
IndiGo,2019-06-11,Indore,Chennai,IND-MUM-BHU-PUN-CHE,11:29,21:07,09:38:00 AM,3 stops,13732
TruJet,2019-07-24,Guwahati,Ahmedabad,GUW-AHM,08:57,23:30,02:33:00 PM,non-stop,10483
SpiceJet,2025-01-04,Nagpur,Indore,NAG-IND,03:06,04:49,01:43:00 AM,non-stop,5472
IndiGo,2024-04-10,Pune,Raipur,PUN-COC-DEL-RAI,11:18,03:17,03:59:00 PM,2 stops,13996
Vistara,2022-10-23,Jaipur,Guwahati,JAI-GUW,04:20,03:07,10:47:00 PM,non-stop,9233
AirAsia India,2025-07-18,Ahmedabad,Hyderabad,AHM-PUN-HYD,08:49,09:36,12:47:00 AM,1 stop,10713
Vistara,2025-01-06,Chennai,Ahmedabad,CHE-HYD-AHM,08:49,17:17,08:28:00 AM,1 stop,9626
SpiceJet,2022-10-19,Raipur,Kolkata,RAI-JAI-CHE-GOA-KOL,17:43,04:15,10:32:00 AM,3 stops,6884
GoAir,2022-08-09,Mumbai,Hyderabad,MUM-PUN-BHU-HYD,23:43,09:35,09:52:00 AM,2 stops,10022
Akasa Air,2024-03-07,Cochin,Delhi,COC-GUW-BAN-DEL,09:24,12:24,03:00:00 AM,2 stops,8681
Vistara,2020-03-02,Raipur,Delhi,RAI-GOA-DEL,15:23,14:25,11:02:00 PM,1 stop,10440
IndiGo,2019-09-03,Bhubaneswar,Varanasi,BHU-COC-VAR,07:33,21:02,01:29:00 PM,1 stop,10585
Air India,2021-05-14,Raipur,Delhi,RAI-GOA-VAR-DEL,04:25,11:22,06:57:00 AM,2 stops,12646
Star Air,2021-09-23,Goa,Bhubaneswar,GOA-JAI-RAI-BHU,07:33,07:52,12:19:00 AM,2 stops,10282
Star Air,2025-12-18,Ahmedabad,Varanasi,AHM-CHE-VAR,09:53,18:40,08:47:00 AM,1 stop,11894
Air India,2023-04-13,Hyderabad,Bangalore,HYD-MUM-BAN,00:01,20:17,08:16:00 PM,1 stop,12153
Air India,2024-01-20,Surat,Goa,SUR-KOL-AHM-GOA,01:52,04:38,02:46:00 AM,2 stops,8112
GoAir,2021-05-05,Ahmedabad,Delhi,AHM-DEL,06:35,01:02,06:27:00 PM,non-stop,5022
SpiceJet,2024-11-12,Mumbai,Lucknow,MUM-HYD-PUN-LUC,13:05,22:23,09:18:00 AM,2 stops,9006
Akasa Air,2021-01-16,Lucknow,Kolkata,LUC-DEL-KOL,03:11,02:17,11:06:00 PM,1 stop,12163
Air India,2022-09-18,Chennai,Lucknow,CHE-BHU-DEL-RAI-LUC,21:27,08:37,11:10:00 AM,3 stops,9317
Alliance Air,2020-06-24,Raipur,Patna,RAI-LUC-PAT,20:19,16:18,07:59:00 PM,1 stop,8324
Vistara,2021-06-08,Indore,Cochin,IND-PUN-COC,19:16,02:56,07:40:00 AM,1 stop,11660
GoAir,2022-05-01,Delhi,Raipur,DEL-LUC-AHM-RAI,20:28,05:46,09:18:00 AM,2 stops,6153
GoAir,2024-10-07,Varanasi,Ahmedabad,VAR-COC-BHU-AHM,05:33,20:48,03:15:00 PM,2 stops,9254
SpiceJet,2025-04-16,Mumbai,Raipur,MUM-CHE-RAI,11:29,14:14,02:45:00 AM,1 stop,8439
Akasa Air,2022-06-08,Delhi,Varanasi,DEL-BHU-RAI-LUC-VAR,00:41,15:36,02:55:00 PM,3 stops,15770
Vistara,2021-06-11,Pune,Jaipur,PUN-BAN-IND-NAG-JAI,15:01,01:33,10:32:00 AM,3 stops,11818
Vistara,2025-12-18,Cochin,Lucknow,COC-LUC,01:51,03:11,01:20:00 AM,non-stop,7469
GoAir,2020-09-11,Pune,Cochin,PUN-IND-COC,13:03,15:30,02:27:00 AM,1 stop,4493
Air India,2020-11-01,Delhi,Patna,DEL-IND-HYD-BHU-PAT,13:18,11:17,09:59:00 PM,3 stops,13279
SpiceJet,2023-10-16,Patna,Mumbai,PAT-SUR-KOL-HYD-MUM,18:14,23:29,05:15:00 AM,3 stops,7874
Star Air,2021-03-01,Mumbai,Bhubaneswar,MUM-BAN-BHU,21:30,12:55,03:25:00 PM,1 stop,7589
Alliance Air,2023-09-28,Guwahati,Nagpur,GUW-PAT-AHM-CHE-NAG,15:28,17:01,01:33:00 AM,3 stops,14186
AirAsia India,2024-03-17,Bhubaneswar,Patna,BHU-MUM-IND-PAT,21:24,19:38,10:14:00 PM,2 stops,13644
TruJet,2020-03-07,Pune,Delhi,PUN-DEL,18:20,02:35,08:15:00 AM,non-stop,3464
GoAir,2025-01-04,Jaipur,Raipur,JAI-HYD-DEL-RAI,14:16,01:43,11:27:00 AM,2 stops,13559
SpiceJet,2023-02-01,Bhubaneswar,Guwahati,BHU-COC-GOA-GUW,21:02,06:42,09:40:00 AM,2 stops,13107
Akasa Air,2021-06-15,Raipur,Pune,RAI-PUN,15:40,01:06,09:26:00 AM,non-stop,6513
Alliance Air,2023-12-14,Bhubaneswar,Goa,BHU-DEL-GOA,00:34,14:10,01:36:00 PM,1 stop,4178
Star Air,2023-06-24,Surat,Kolkata,SUR-BHU-BAN-GOA-KOL,05:11,03:27,10:16:00 PM,3 stops,11075
SpiceJet,2025-02-13,Surat,Chennai,SUR-PUN-RAI-BHU-CHE,13:06,05:14,04:08:00 PM,3 stops,15534
Akasa Air,2023-01-27,Patna,Bhubaneswar,PAT-GUW-BAN-VAR-BHU,22:02,22:12,12:10:00 AM,3 stops,9708
Alliance Air,2020-02-27,Guwahati,Raipur,GUW-COC-JAI-MUM-RAI,09:42,21:26,11:44:00 AM,3 stops,15837
GoAir,2022-04-22,Kolkata,Surat,KOL-GOA-SUR,16:20,17:29,01:09:00 AM,1 stop,5995
AirAsia India,2019-12-12,Chennai,Delhi,CHE-IND-DEL,05:53,08:45,02:52:00 AM,1 stop,11381
Star Air,2024-05-18,Chennai,Delhi,CHE-KOL-SUR-VAR-DEL,18:38,05:19,10:41:00 AM,3 stops,12598
GoAir,2022-10-19,Ahmedabad,Surat,AHM-JAI-GOA-MUM-SUR,12:23,13:32,01:09:00 AM,3 stops,11196
TruJet,2019-03-25,Cochin,Mumbai,COC-MUM,17:17,00:28,07:11:00 AM,non-stop,9850
Star Air,2020-09-27,Varanasi,Kolkata,VAR-BAN-LUC-AHM-KOL,12:02,01:33,01:31:00 PM,3 stops,14675
AirAsia India,2023-10-09,Bangalore,Varanasi,BAN-DEL-VAR,09:00,20:48,11:48:00 AM,1 stop,8748
Air India,2022-07-06,Patna,Kolkata,PAT-IND-GUW-CHE-KOL,16:07,07:54,03:47:00 PM,3 stops,7366
Akasa Air,2021-04-06,Cochin,Mumbai,COC-IND-VAR-MUM,01:42,23:24,09:42:00 PM,2 stops,13377
Star Air,2022-10-20,Hyderabad,Lucknow,HYD-GOA-IND-PAT-LUC,04:43,05:52,01:09:00 AM,3 stops,7962
Alliance Air,2025-08-04,Patna,Indore,PAT-IND,22:21,06:23,08:02:00 AM,non-stop,3020
Alliance Air,2019-08-11,Mumbai,Chennai,MUM-CHE,16:34,12:18,07:44:00 PM,non-stop,9918
Vistara,2023-10-06,Pune,Bhubaneswar,PUN-KOL-IND-BHU,08:13,11:29,03:16:00 AM,2 stops,12681
SpiceJet,2021-05-18,Ahmedabad,Hyderabad,AHM-HYD,11:47,19:26,07:39:00 AM,non-stop,8361
TruJet,2021-02-04,Guwahati,Surat,GUW-JAI-PAT-BHU-SUR,09:19,11:19,02:00:00 AM,3 stops,8459
Air India,2022-01-11,Bangalore,Raipur,BAN-KOL-VAR-NAG-RAI,22:31,05:25,06:54:00 AM,3 stops,11179
Vistara,2022-04-21,Cochin,Patna,COC-BHU-RAI-JAI-PAT,18:03,09:04,03:01:00 PM,3 stops,9778
GoAir,2025-01-17,Nagpur,Pune,NAG-SUR-PUN,14:18,06:49,04:31:00 PM,1 stop,10031
IndiGo,2022-09-08,Pune,Ahmedabad,PUN-CHE-GOA-AHM,11:41,13:30,01:49:00 AM,2 stops,13649
TruJet,2022-04-19,Varanasi,Mumbai,VAR-MUM,17:01,11:35,06:34:00 PM,non-stop,8146
GoAir,2023-10-13,Bhubaneswar,Nagpur,BHU-SUR-KOL-NAG,14:45,05:32,02:47:00 PM,2 stops,5737
Air India,2020-09-21,Pune,Indore,PUN-JAI-BAN-IND,09:32,02:30,04:58:00 PM,2 stops,8555
Vistara,2023-05-23,Varanasi,Delhi,VAR-BHU-SUR-GUW-DEL,13:01,23:55,10:54:00 AM,3 stops,14452
IndiGo,2021-05-23,Bangalore,Surat,BAN-SUR,14:07,03:54,01:47:00 PM,non-stop,7029
SpiceJet,2021-03-23,Surat,Goa,SUR-AHM-PUN-GOA,12:14,02:48,02:34:00 PM,2 stops,6322
SpiceJet,2019-11-18,Surat,Raipur,SUR-GUW-RAI,22:59,07:18,08:19:00 AM,1 stop,12765
Vistara,2024-01-27,Bhubaneswar,Lucknow,BHU-LUC,04:45,13:52,09:07:00 AM,non-stop,8816
Air India,2020-11-17,Goa,Kolkata,GOA-KOL,18:15,07:01,12:46:00 PM,non-stop,5863
Air India,2025-06-12,Chennai,Raipur,CHE-COC-SUR-RAI,14:55,21:19,06:24:00 AM,2 stops,7725
Star Air,2024-05-19,Nagpur,Patna,NAG-KOL-BAN-PAT,07:09,23:17,04:08:00 PM,2 stops,7149
AirAsia India,2023-07-22,Surat,Indore,SUR-GOA-MUM-IND,21:10,05:34,08:24:00 AM,2 stops,7620
TruJet,2020-04-20,Varanasi,Guwahati,VAR-HYD-PUN-CHE-GUW,13:02,11:33,10:31:00 PM,3 stops,13825
AirAsia India,2020-04-11,Goa,Cochin,GOA-CHE-HYD-COC,21:05,13:29,04:24:00 PM,2 stops,7858
TruJet,2024-05-13,Jaipur,Hyderabad,JAI-NAG-LUC-HYD,12:23,09:17,08:54:00 PM,2 stops,15172
Alliance Air,2024-11-05,Ahmedabad,Nagpur,AHM-NAG,06:58,23:20,04:22:00 PM,non-stop,11519
TruJet,2025-02-05,Ahmedabad,Hyderabad,AHM-IND-HYD,02:18,14:34,12:16:00 PM,1 stop,12554
TruJet,2025-05-09,Jaipur,Varanasi,JAI-BAN-GOA-HYD-VAR,11:23,02:56,03:33:00 PM,3 stops,16028
TruJet,2025-08-15,Patna,Chennai,PAT-MUM-CHE,18:12,13:37,07:25:00 PM,1 stop,9640
Vistara,2022-10-19,Varanasi,Lucknow,VAR-PAT-BHU-LUC,16:29,00:32,08:03:00 AM,2 stops,12483
Alliance Air,2020-02-28,Bangalore,Lucknow,BAN-CHE-PAT-RAI-LUC,12:56,23:49,10:53:00 AM,3 stops,14612
TruJet,2022-10-07,Raipur,Guwahati,RAI-DEL-GUW,08:18,14:55,06:37:00 AM,1 stop,8012
Star Air,2023-01-27,Surat,Raipur,SUR-RAI,12:06,02:57,02:51:00 PM,non-stop,3565
Air India,2021-07-08,Indore,Jaipur,IND-CHE-JAI,08:30,01:49,05:19:00 PM,1 stop,3513
GoAir,2024-05-14,Goa,Kolkata,GOA-KOL,09:12,23:27,02:15:00 PM,non-stop,2560
AirAsia India,2020-06-21,Mumbai,Raipur,MUM-IND-RAI,16:06,18:49,02:43:00 AM,1 stop,8875
GoAir,2025-07-28,Varanasi,Kolkata,VAR-KOL,02:07,16:04,01:57:00 PM,non-stop,10500
Alliance Air,2023-02-28,Jaipur,Nagpur,JAI-NAG,23:30,01:38,02:08:00 AM,non-stop,8036
TruJet,2020-09-27,Goa,Bhubaneswar,GOA-IND-JAI-BHU,23:07,11:39,12:32:00 PM,2 stops,8282
Vistara,2025-11-04,Raipur,Kolkata,RAI-PUN-PAT-CHE-KOL,09:21,11:16,01:55:00 AM,3 stops,5833
Alliance Air,2023-08-08,Hyderabad,Kolkata,HYD-IND-VAR-KOL,07:32,08:40,01:08:00 AM,2 stops,7831
GoAir,2024-08-27,Hyderabad,Chennai,HYD-CHE,18:29,19:19,12:50:00 AM,non-stop,9288
Air India,2021-08-13,Varanasi,Pune,VAR-MUM-BHU-PUN,08:03,23:05,03:02:00 PM,2 stops,7267
SpiceJet,2024-04-05,Lucknow,Ahmedabad,LUC-BHU-AHM,21:04,23:16,02:12:00 AM,1 stop,11036
Air India,2021-04-10,Cochin,Kolkata,COC-KOL,02:01,18:40,04:39:00 PM,non-stop,7588
Star Air,2023-05-05,Varanasi,Nagpur,VAR-BAN-CHE-PAT-NAG,17:51,23:19,05:28:00 AM,3 stops,7784
Vistara,2020-02-11,Ahmedabad,Jaipur,AHM-JAI,20:26,14:59,06:33:00 PM,non-stop,7371
SpiceJet,2022-12-06,Bangalore,Bhubaneswar,BAN-LUC-COC-BHU,23:39,21:24,09:45:00 PM,2 stops,9849
Star Air,2023-10-12,Cochin,Patna,COC-PAT,11:52,07:29,07:37:00 PM,non-stop,2511
GoAir,2024-02-19,Patna,Surat,PAT-NAG-BHU-CHE-SUR,21:34,01:25,03:51:00 AM,3 stops,16909
TruJet,2022-10-08,Surat,Chennai,SUR-KOL-CHE,12:42,03:47,03:05:00 PM,1 stop,10230
Alliance Air,2021-06-02,Pune,Ahmedabad,PUN-AHM,20:57,12:46,03:49:00 PM,non-stop,8450
Star Air,2022-03-16,Guwahati,Bhubaneswar,GUW-RAI-DEL-BHU,21:32,21:46,12:14:00 AM,2 stops,11830
Star Air,2024-04-20,Patna,Chennai,PAT-CHE,08:27,12:28,04:01:00 AM,non-stop,11356
Air India,2022-12-02,Jaipur,Goa,JAI-PAT-NAG-GOA,22:48,05:13,06:25:00 AM,2 stops,13093
TruJet,2020-05-09,Guwahati,Ahmedabad,GUW-JAI-AHM,20:16,02:00,05:44:00 AM,1 stop,9561
Alliance Air,2020-10-02,Lucknow,Cochin,LUC-PAT-BHU-COC,10:48,11:32,12:44:00 AM,2 stops,10522
Akasa Air,2020-07-10,Nagpur,Bhubaneswar,NAG-BHU,08:59,18:25,09:26:00 AM,non-stop,7483
Alliance Air,2022-10-02,Surat,Indore,SUR-AHM-GUW-LUC-IND,00:50,12:15,11:25:00 AM,3 stops,6943
IndiGo,2020-02-01,Chennai,Ahmedabad,CHE-DEL-AHM,18:01,14:06,08:05:00 PM,1 stop,8410
IndiGo,2023-05-23,Bangalore,Surat,BAN-DEL-IND-SUR,11:42,13:57,02:15:00 AM,2 stops,11750
AirAsia India,2020-12-04,Bangalore,Hyderabad,BAN-BHU-HYD,21:40,19:43,10:03:00 PM,1 stop,8080
TruJet,2023-11-07,Hyderabad,Mumbai,HYD-GUW-LUC-MUM,05:20,20:00,02:40:00 PM,2 stops,11702
GoAir,2020-07-26,Surat,Jaipur,SUR-PUN-LUC-NAG-JAI,02:02,16:31,02:29:00 PM,3 stops,12009
Akasa Air,2025-07-07,Chennai,Lucknow,CHE-SUR-VAR-LUC,04:47,00:21,07:34:00 PM,2 stops,6278
TruJet,2024-03-18,Nagpur,Lucknow,NAG-MUM-GOA-LUC,02:46,02:15,11:29:00 PM,2 stops,4829
Alliance Air,2019-09-02,Ahmedabad,Jaipur,AHM-BAN-JAI,23:18,12:20,01:02:00 PM,1 stop,7272
SpiceJet,2020-10-28,Nagpur,Goa,NAG-PAT-VAR-SUR-GOA,11:37,04:08,04:31:00 PM,3 stops,13125
Star Air,2021-08-21,Jaipur,Ahmedabad,JAI-AHM,16:51,15:16,10:25:00 PM,non-stop,3398
IndiGo,2019-06-14,Kolkata,Raipur,KOL-MUM-VAR-RAI,05:20,22:58,05:38:00 PM,2 stops,11123
Alliance Air,2020-01-15,Ahmedabad,Bhubaneswar,AHM-VAR-NAG-BHU,08:05,02:59,06:54:00 PM,2 stops,10523
GoAir,2023-07-08,Goa,Nagpur,GOA-BHU-NAG,10:01,19:18,09:17:00 AM,1 stop,5998
Alliance Air,2019-12-04,Kolkata,Nagpur,KOL-COC-AHM-NAG,07:04,17:15,10:11:00 AM,2 stops,7456
Alliance Air,2022-11-27,Jaipur,Mumbai,JAI-MUM,01:10,13:12,12:02:00 PM,non-stop,11894
Star Air,2022-07-11,Pune,Chennai,PUN-GOA-VAR-HYD-CHE,18:41,22:29,03:48:00 AM,3 stops,7715
Vistara,2020-08-23,Jaipur,Chennai,JAI-IND-CHE,21:50,09:46,11:56:00 AM,1 stop,6437
TruJet,2022-10-28,Guwahati,Ahmedabad,GUW-AHM,22:56,23:01,12:05:00 AM,non-stop,7585
SpiceJet,2023-08-24,Mumbai,Guwahati,MUM-JAI-GUW,10:13,14:39,04:26:00 AM,1 stop,11565
Akasa Air,2020-12-18,Goa,Guwahati,GOA-AHM-PAT-GUW,11:43,11:45,12:02:00 AM,2 stops,13540
Star Air,2024-02-28,Bhubaneswar,Indore,BHU-RAI-AHM-GOA-IND,17:41,08:01,02:20:00 PM,3 stops,7421
TruJet,2024-06-21,Patna,Pune,PAT-MUM-NAG-CHE-PUN,11:37,19:20,07:43:00 AM,3 stops,8303
TruJet,2023-02-09,Jaipur,Indore,JAI-PUN-IND,10:40,18:33,07:53:00 AM,1 stop,4217
IndiGo,2024-04-04,Raipur,Goa,RAI-BHU-GOA,14:24,11:21,08:57:00 PM,1 stop,13461
TruJet,2023-01-02,Guwahati,Pune,GUW-RAI-GOA-CHE-PUN,23:18,13:20,02:02:00 PM,3 stops,13674
Akasa Air,2020-08-10,Mumbai,Bhubaneswar,MUM-BAN-BHU,16:39,03:21,10:42:00 AM,1 stop,3925
Akasa Air,2021-09-27,Delhi,Bangalore,DEL-AHM-BHU-BAN,23:55,08:52,08:57:00 AM,2 stops,11438
Star Air,2020-11-28,Bhubaneswar,Pune,BHU-IND-AHM-PUN,18:54,08:01,01:07:00 PM,2 stops,13843
SpiceJet,2024-09-16,Cochin,Kolkata,COC-RAI-KOL,13:21,06:18,04:57:00 PM,1 stop,9903
Vistara,2020-04-21,Goa,Hyderabad,GOA-JAI-HYD,20:50,23:13,02:23:00 AM,1 stop,6387
Akasa Air,2023-05-10,Lucknow,Ahmedabad,LUC-AHM,07:56,08:32,12:36:00 AM,non-stop,8030
Air India,2024-02-01,Varanasi,Raipur,VAR-LUC-GUW-SUR-RAI,00:52,17:15,04:23:00 PM,3 stops,15071
SpiceJet,2022-02-19,Pune,Raipur,PUN-COC-IND-MUM-RAI,06:43,08:57,02:14:00 AM,3 stops,13793
TruJet,2022-04-12,Guwahati,Lucknow,GUW-VAR-KOL-HYD-LUC,06:47,16:20,09:33:00 AM,3 stops,14639
SpiceJet,2024-03-23,Chennai,Bhubaneswar,CHE-GUW-LUC-KOL-BHU,01:02,07:25,06:23:00 AM,3 stops,13326
AirAsia India,2023-04-26,Nagpur,Lucknow,NAG-MUM-LUC,10:32,04:15,05:43:00 PM,1 stop,6145
SpiceJet,2024-12-27,Raipur,Hyderabad,RAI-HYD,14:14,15:15,01:01:00 AM,non-stop,11464
Alliance Air,2020-03-26,Bhubaneswar,Delhi,BHU-DEL,15:06,15:17,12:11:00 AM,non-stop,5057
Star Air,2024-01-10,Hyderabad,Pune,HYD-AHM-GUW-PUN,02:27,18:40,04:13:00 PM,2 stops,8038
TruJet,2024-04-11,Kolkata,Bangalore,KOL-SUR-NAG-BAN,20:00,06:50,10:50:00 AM,2 stops,5967
Alliance Air,2025-07-27,Surat,Bhubaneswar,SUR-GOA-JAI-BHU,07:19,14:35,07:16:00 AM,2 stops,11979
TruJet,2022-04-26,Indore,Chennai,IND-GOA-PAT-AHM-CHE,00:53,12:29,11:36:00 AM,3 stops,9304
Alliance Air,2021-11-20,Pune,Kolkata,PUN-CHE-KOL,06:05,21:57,03:52:00 PM,1 stop,11178
Alliance Air,2022-11-23,Chennai,Guwahati,CHE-BHU-COC-GUW,11:49,02:33,02:44:00 PM,2 stops,13129
AirAsia India,2019-01-12,Varanasi,Patna,VAR-DEL-PAT,13:15,13:25,12:10:00 AM,1 stop,12847
Star Air,2022-02-08,Bhubaneswar,Cochin,BHU-BAN-GUW-COC,11:31,18:03,06:32:00 AM,2 stops,7571
Alliance Air,2023-07-01,Nagpur,Varanasi,NAG-VAR,04:38,17:31,12:53:00 PM,non-stop,7800
SpiceJet,2019-01-25,Lucknow,Chennai,LUC-CHE,23:48,03:41,03:53:00 AM,non-stop,11313
Vistara,2024-11-01,Pune,Chennai,PUN-GUW-BHU-CHE,16:35,17:51,01:16:00 AM,2 stops,10842
Vistara,2025-04-22,Pune,Lucknow,PUN-MUM-PAT-LUC,02:16,03:18,01:02:00 AM,2 stops,13529
Vistara,2024-02-12,Kolkata,Varanasi,KOL-COC-VAR,16:22,19:12,02:50:00 AM,1 stop,4472
AirAsia India,2021-05-20,Varanasi,Hyderabad,VAR-BHU-PUN-RAI-HYD,03:33,00:59,09:26:00 PM,3 stops,13411
Air India,2023-02-14,Chennai,Guwahati,CHE-NAG-GUW,16:19,20:04,03:45:00 AM,1 stop,5620
Star Air,2021-04-16,Goa,Kolkata,GOA-CHE-KOL,08:50,00:46,03:56:00 PM,1 stop,4359
TruJet,2021-07-06,Pune,Lucknow,PUN-NAG-LUC,05:39,00:50,07:11:00 PM,1 stop,7137
Alliance Air,2022-03-25,Surat,Patna,SUR-DEL-MUM-PAT,05:31,19:44,02:13:00 PM,2 stops,9276
Star Air,2019-06-13,Jaipur,Goa,JAI-PUN-GUW-KOL-GOA,10:55,12:44,01:49:00 AM,3 stops,7700
AirAsia India,2021-01-22,Mumbai,Kolkata,MUM-DEL-GUW-HYD-KOL,22:39,19:11,08:32:00 PM,3 stops,15937
Vistara,2025-02-05,Raipur,Kolkata,RAI-MUM-JAI-KOL,20:24,04:47,08:23:00 AM,2 stops,5047
